鼹 鼴
齑 齏
齿 齒
龀 齔
龁 齕
龂 齗
龃 齟
龄 齡
龆 齠
龇 齜
龈 齦
龉 齬
龊 齪
龋 齲
龌 齷
龙 龍
龚 龔
龛 龕
龟 龜
𡒄 壈
𨱏 鎝
𫎩 擠
㛠 𡢃
䍀 繿
镄 鐨
㻏 𤫩
饣 飠
㨫 㩜
铹 鐒
䯅 䯀
荭 葒
