#CB编号, 通用字, 原字, 組合表示式
CB13346,垂,,[(乖-北+(傘-(企-止+十)))/一]                   
CB13347,舝,,[工/(巢-果+(冗-几+(儿/牛)))]                   
CB13354,鬷,,[(甚-匹+(岡-山+十))*(一/兇/又)]                 
CB13355,叡,,[(虍-七+(一/八/八/目))*(只/ㄆ)]                 
CB13356,,𠑗,[仁-二+((盥-水+囟)-皿+(大/巳))]                 
CB13361,羿,,[((((巨-匚)@一)*((巨-匚)@一)))/幵]             
CB13362,盩,,[((((嘹-口)-小)-日+(工/十))*支)/皿]             
CB13366,旃,,[打-丁+(旃-方)]                             
CB13369,哅,,[喝-曰]                                   
CB13376,臾,㬰,[臾-臼+曰]                                 
CB13378,捐,,[捐-口+ㄙ]                                 
CB13380,稟,,[(烈-列+〦)/回/木]                           
CB13382,博,,[十*(十/田/寸)]                             
CB13384,喉,𦞈,[月*侯]                                   
CB13385,,𪎵,[黃*亢]                                   
CB13387,夜,,[交*瓦]                                   
CB13391,,𤂷,[澗-日+於]                                 
CB13392,,㽲,[病-丙+ㄎ]                                 
CB13394,,𩮹,[髟/累]                                   
CB13395,,𩼟,[魚*蜀]                                   
CB13398,鼓,𪔐,[鼓/古]                                   
CB13399,,𧴰,[貝*弋]                                   
CB13400,,䌠,[(咸*欠)/糸]                               
CB13401,,𤠣,[狂-王+候]                                 
CB13407,,䏎,[月*凡]                                   
CB13408,妓,,[敲-高+女]                                 
CB13410,褻,𧃳,[蓺/衣]                                   
CB13412,壼,,[橐-(石/木)+(韭-(三*三)+口)]                   
CB13413,矇,,[矇-卄+((並-(前-刖))-一)]                     
CB13414,黟,𪐭,[黑*兮]                                   
CB13415,博,,[怙-口+(田/寸)]                             
CB13416,,𨄔,[蹲-酋+(十/田/ㄙ)]                           
CB13420,,䏭,[月*朱]                                   
CB13424,,䁆,[目*奄]                                   
CB13426,海,𣴴,[每/水]                                   
CB13427,訶,𧪆,[言*苛]                                   
CB13428,,𩵾,[魚*支]                                   
CB13430,黟,𪐚,[黑*ㄎ]                                   
CB13437,,𤡓,[狂-王+國]                                 
CB13439,頲,,[廷-壬+(壬*頁)]                             
CB13440,黟,,[黑*(前-刖+ㄅ)]                             
CB13442,詍,㖂,[口*曳]                                   
CB13443,,㖕,[口*辛]                                   
CB13444,,㖪,[口*或]                                   
CB13445,,𣜭,[木*煎]                                   
CB13448,螭,𡖟,[多*它]                                   
CB13450,,䦘,[門@艮]                                   
CB13451,,䨟,[雨/洼]                                   
CB13453,,䵃,[麥*黃]                                   
CB13456,,㓊,[冰-水+同]                                 
CB13458,,㤳,[怡-台+否]                                 
CB13459,哀,𢜺,[怡-台+哀]                                 
CB13461,毼,𣮷,[毯-炎+曷]                                 
CB13463,,䅽,[聲-耳+禾]                                 
CB13464,喫,𠿊,[口*(擊-手)]                               
CB13470,虧,𧟯,[(栗-木+土)*(几/万)]                         
CB13471,,㕤,[口*九]                                   
CB13474,甜,,[日*舌]                                   
CB13477,硜,䃘,[石*堅]                                   
CB13478,,𥢒,[禾*勞]                                   
CB13479,,𥻱,[米*員]                                   
CB13480,螫,𧐭,[虫*赦]                                   
CB13481,嗽,,[虫*數]                                   
CB13482,觚,𧣋,[角*介]                                   
CB13483,斟,㪸,[其*斗]                                   
CB13486,,𤮋,[國*瓦]                                   
CB13487,癰,𦡈,[雍/肉]                                   
CB13488,鼖,𪔵,[鼓/賁]                                   
CB13490,,𪙽,[齒*歷]                                   
CB13492,,𢸒,[打-丁+賢]                                 
CB13493,,㡹,[序-予+且]                                 
CB13494,,𢉩,[序-予+音]                                 
CB13497,,𢢩,[怡-台+敬]                                 
CB13498,卹,𨜧,[邱-丘+面]                                 
CB13502,,𥈈,[煦-日+目]                                 
CB13503,,䟭,[跳-兆+乍]                                 
CB13505,俵,,[挔-〦+去]                                 
CB13506,粳,,[籺-乙+几]                                 
CB13507,,𨌂,[輲-而+壬]                                 
CB13508,崿,𡼑,[山*(口/咢)]                               
CB13513,萆,𦸣,[卄/庳]                                   
CB13514,,䲳,[亢*鳥]                                   
CB13519,,𪂒,[忽*鳥]                                   
CB13522,宜,,[冗-几+旦]                                 
CB13525,菟,,[菟-、+ㄙ]                                 
CB13528,鏟,𨩱,[金*(彥-文+(立-一))]                         
CB13530,虋,𧄸,[卄/舋]                                   
CB13533,,𡏛,[土*奚]                                   
CB13534,澗,𡼥,[山*閒]                                   
CB13535,,𢅋,[巾*曾]                                   
CB13537,餐,,[歹/食]                                   
CB13541,,𥨕,[穴/惺]                                   
CB13545,,㥤,[矜/心]                                   
CB13546,,𥀹,[繭*皮]                                   
CB13547,昒,𣇤,[昒/心]                                   
CB13548,,𠐆,[僄*寸]                                   
CB13549,,㒔,[仁-二+蜀]                                 
CB13551,,㩆,[打-丁+就]                                 
CB13555,,𤸒,[病-丙+禺]                                 
CB13557,,㲮,[毯-炎+答]                                 
CB13560,罹,,[(ㄇ@(企-止))/惟]                           
CB13566,,𪄲,[商*鳥]                                   
CB13567,楯,𣛝,[木*循]                                   
CB13568,,𪙊,[齒*兼]                                   
CB13572,麩,,[麩-夫+甫]                                 
CB13573,,𥛑,[社-土+辱]                                 
CB13574,,𥣰,[櫋-木+禾]                                 
CB13576,,㭺,[木*奄]                                   
CB13578,,㽡,[田*卑]                                   
CB13580,蔭,䕃,[蒢-(一/木)+(套-大)]                         
CB13583,,䁔,[目*爰]                                   
CB13588,,𠗕,[冰-水+(唆-口)]                             
CB13590,壅,㙲,[土*雍]                                   
CB13592,翰,𨎰,[車*翕]                                   
CB13593,性,,[怡-台+主]                                 
CB13594,,𢥴,[怡-台+嚴]                                 
CB13595,殀,,[殀-大+犮]                                 
CB13600,虧,,[霍*(前-刖+ㄅ)]                             
CB13601,舉,𠃥,[丮-(舉-與)+未]                             
CB13602,撟,𢱪,[打-丁+(右/(同-一))]                         
CB13610,墀,,[坭-匕+羊]                                 
CB13616,,𣢥,[丘*欠]                                   
CB13617,氓,𤱕,[田*民]                                   
CB13620,,䜞,[言*齊]                                   
CB13625,,𪖗,[鼻*欠]                                   
CB13630,廱,𢋊,[序-予+雍]                                 
CB13631,,𤢎,[狂-王+當]                                 
CB13632,還,,[迅-十+衣]                                 
CB13633,,𠈗,[佰-白+旦]                                 
CB13638,,𧚥,[袖-由+取]                                 
CB13639,,𧚪,[袖-由+妾]                                 
CB13640,,𨆘,[跳-兆+僉]                                 
CB13641,,𢛘,[悕-巾+月]                                 
CB13646,霸,,[霸-革+(看-目)]                             
CB13650,爭,,[夕*尹]                                   
CB13651,,𧘞,[袖-由+斗]                                 
CB13652,,𢝌,[怡-台+冒]                                 
CB13653,莣,𦯌,[惹-右+(└@(企-止))]                         
CB13656,,𪑇,[黑*合]                                   
CB13658,耬,䅹,[禾*婁]                                   
CB13660,醬,,[酉*將]                                   
CB13664,,𥱹,[竺-二+莫]                                 
CB13665,,𩚟,[飢-几+夬]                                 
CB13667,權,,[栱-八+隹]                                 
CB13670,循,,[攸-ㄆ+(后-口+目)]                           
CB13681,黂,,[(序-予+林)/立/貝]                           
CB13684,,㱧,[歹*宛]                                   
CB13686,,𠗉,[冰-水+夾]                                 
CB13691,,𩕾,[(四/(厂@(罩-卓+大)))*頁]                     
CB13692,,䒺,[卄/糸]                                   
CB13693,,𦲤,[卄/依]                                   
CB13697,,𣓃,[木*芮]                                   
CB13699,赦,𢼜,[亦*ㄆ]                                   
CB13701,凝,𤁒,[泳-永+疑]                                 
CB13707,整,,[(束*力)/心]                               
CB13708,藐,,[卄/(豸*?*艮)]                             
CB13712,講,,[言*井]                                   
CB13715,,𤶑,[病-丙+因]                                 
CB13716,,𦸈,[菰-子+舌]                                 
CB13717,,𧁾,[菰-子+婁]                                 
CB13728,,𦼦,[卄/盛]                                   
CB13730,嵇,,[秋/山]                                   
CB13731,特,,[爿*寺]                                   
CB13732,,𢵗,[打-丁+菊]                                 
CB13734,,𢙾,[怡-台+更]                                 
